,data_hora,natureza_acidente,bairro,endereco,numero,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,velocidade_max_via,mao_direcao,latitude,longitude
1139,2019-02-11 07:38:00,SEM VÍTIMA,PORTO DA MADEIRA,AV BEBERIBE,3295,COLISÃO TRASEIRA,1,0,0,0,0,0,1,0,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.0223817,-34.89403529999999
1140,2019-02-11 07:59:00,COM VÍTIMA,CAMPO GRANDE,RUA GUAIANAZES,239,ABALROAMENTO LONGITUDINAL,1,1,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Não existe,Incompleta,Seca,Perfeito estado,Não informado,Dupla,-8.0367577,-34.8777862
1141,2019-02-11 08:07:00,SEM VÍTIMA,SÃO JOSÉ,C SANTA RITA,,ABALROAMENTO LONGITUDINAL,1,0,0,0,0,1,0,0,0,0,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Não informado,-8.0665491,-34.877012799999996
1142,2019-02-11 08:11:00,COM VÍTIMA,TEJIPIÓ,RUA DO SANCHO,235,COLISÃO COM CICLISTA,1,0,0,1,0,0,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.088705000000001,-34.9580294
1143,2019-02-11 08:12:00,SEM VÍTIMA,SÃO JOSÉ,RUA SIQUEIRA CAMPOS,,COLISÃO,1,0,0,0,0,1,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.112468,-34.955313700000005
1144,2019-02-11 09:12:00,SEM VÍTIMA,DERBY,RUA DR SEVERINO PINHEIRO,,ABALROAMENTO LONGITUDINAL,2,0,0,0,0,0,0,0,0,0,0,Ponte,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,40 km/h,Dupla,-8.058367500000001,-34.900008500000006
1145,2019-02-11 09:32:00,SEM VÍTIMA,IMBIRIBEIRA,RUA NESTOR MOREIRA,181,COLISÃO,2,0,0,0,0,0,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.126872599999999,-34.9135544
1146,2019-02-11 09:32:00,SEM VÍTIMA,BOA VIAGEM,RUA BARAO DE MONTE ALTO,117,ABALROAMENTO LONGITUDINAL,1,0,0,0,0,0,1,0,1,0,0,Longo da via,Bom,Não existe,Não existente,Seca,Mal conservada,Não informado,Dupla,-8.1260668,-34.9163098
1147,2019-02-11 09:57:00,SEM VÍTIMA,TAMARINEIRA,RUA JOSE CARVALHEIRA,35,ABALROAMENTO LONGITUDINAL,1,0,0,0,0,0,1,0,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Única,-8.031588099999999,-34.9045137
1148,2019-02-11 10:10:00,COM VÍTIMA,PARNAMIRIM,EST DO ARRAIAL,3107,ABALROAMENTO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,Esquina,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,40 km/h,Única,-8.026711800000001,-34.916900299999995
1149,2019-02-11 10:35:00,SEM VÍTIMA,SANTO ANTÔNIO,RUA SIQUEIRA CAMPOS,251,ABALROAMENTO LONGITUDINAL,1,0,0,0,0,0,1,0,0,0,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Única,-8.062776,-34.8786009252521
1150,2019-02-11 10:52:00,SEM VÍTIMA,IMBIRIBEIRA,RUA ANTONIO PAES BARRETO,620,ABALROAMENTO LONGITUDINAL,1,0,0,0,0,1,0,0,1,0,0,Cruzamento,Bom,Não existe,Não existente,Seca,Mal conservada,Não informado,Dupla,-8.113607700000001,-34.90770560000001
1151,2019-02-11 11:15:00,COM VÍTIMA,TEJIPIÓ,AV DR JOSE RUFINO,3152,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.094237099999999,-34.923514700000005
